Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_ind;e_alpha_high_ind;alpha_low_ind;e_alpha_low_ind;Mc_ind;e_Mc_ind;offset_ind;e_offset_ind;alpha_high_prim;e_alpha_high_prim;alpha_low_prim;e_alpha_low_prim;Mc_prim;e_Mc_prim;offset_prim;e_offset_prim;alpha_high_sec;e_alpha_high_sec;alpha_low_sec;e_alpha_low_sec;Mc_sec;e_Mc_sec;offset_sec;e_offset_sec;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
ASCC_11;53.0538;44.8967;0.826;0.005;8.443;0.194;-0.121;0.044;0.975;0.101;343;-2.76106;0.31738;3.0;0.81759;-0.16026;0.01289;1.14906;0.03255;-2.88387;0.49034;0.01;0.2023;0.19283;0.03117;1.96094;0.14439;-2.1662;1.00057;0.76206;0.24568;-0.07386;0.0846;1.43154;0.17018;541;108;0.49854;0.60459;0.23087;1.26139;7.17919;0.13528;0.11318
ASCC_113;318.0091;38.6407;0.558;0.0;8.493;0.088;0.001;0.025;0.245;0.049;264;-1.69548;0.42481;2.13749;0.70042;-0.11212;0.03382;1.35795;0.06836;-0.39198;1.64946;0.01;1.61554;0.02021;1.69603;1.28029;0.46477;-1.54011;0.43793;0.30376;0.1186;-0.13279;0.07721;1.14028;0.08478;426;85;0.4053;0.54707;0.25176;1.22491;3.84242;0.17394;0.03741
ASCC_12;72.4597;41.8028;1.014;0.012;8.496;0.318;-0.112;0.033;1.009;0.084;176;-3.0;0.78108;0.86483;1.45591;-0.07189;0.04448;1.10773;0.07672;-1.78891;0.93783;0.01;1.2799;0.05777;0.17587;1.29107;0.21107;-1.65277;0.41773;1.17955;0.332;-0.2;0.05431;0.93796;0.07308;309;61;0.44886;0.65416;0.26551;0.9636;6.9973;0.30248;0.00148
ASCC_23;94.9038;46.6552;0.604;0.001;8.489;0.084;-0.069;0.046;0.376;0.044;165;-2.23711;1.07356;0.81966;1.20319;-0.07795;0.08163;1.05703;0.12013;-1.73244;1.51856;0.01;0.79766;0.0918;0.2116;1.34308;0.34948;-3.0;2.43562;0.77199;0.31488;-0.09141;0.0961;1.10151;0.16869;242;48;0.52121;0.60778;0.20757;1.1971;5.59729;0.22107;0.07295
Alessi_Teutsch_11;304.2059;52.0102;0.638;0.002;8.253;0.13;0.024;0.039;0.257;0.047;137;-2.96905;1.08074;0.9732;0.75022;-0.04483;0.05479;1.10546;0.1427;-1.67217;1.72093;0.01;0.48905;0.2;0.20663;1.41478;0.60383;-1.55102;0.79161;0.30357;0.5686;-0.15194;0.17431;0.96834;0.13442;217;43;0.51095;0.54755;0.25307;1.46606;3.08545;0.37954;0.00013
Alessi_Teutsch_3;118.2504;-52.99;0.684;0.002;8.173;0.17;-0.039;0.02;0.744;0.043;133;-2.59372;0.23785;1.80508;1.13677;-0.1484;0.03058;0.9071;0.03084;-2.09568;1.41584;0.01;1.32599;0.10227;0.23051;1.3567;0.39742;-2.82765;0.65715;0.41852;0.19496;-0.09874;0.04492;0.92252;0.08235;192;38;0.42105;0.61624;0.28286;1.30663;6.08985;0.26923;0.02904
COIN-Gaia_11;68.0583;39.5164;0.638;0.005;8.753;0.078;-0.001;0.053;1.876;0.053;131;-0.85772;1.77383;0.94636;1.02609;0.06138;0.21043;1.02876;0.45259;-1.06067;1.33239;0.39793;0.57984;0.19234;0.15783;1.37904;0.40474;-3.0;2.0841;0.87923;0.44972;0.11475;0.07295;1.79141;0.41916;336;67;0.68702;0.67714;0.21103;1.40244;4.16753;0.22839;0.07321
COIN-Gaia_13;83.1834;42.0756;0.5;0.001;8.215;0.134;-0.092;0.041;0.393;0.065;285;-3.0;1.35363;1.25048;0.60586;-0.09452;0.05282;1.17052;0.13017;-1.68197;1.13984;0.01;0.5018;0.01685;0.17172;1.44861;0.24657;-1.83607;1.33263;0.31667;0.42168;-0.2;0.14756;1.11826;0.14619;367;73;0.59298;0.60854;0.2224;1.00969;8.94885;0.1033;0.66203
Collinder_394;283.078;-20.2138;0.705;0.002;8.081;0.091;0.055;0.049;0.888;0.049;314;-1.71209;0.31034;3.0;1.86053;-0.16229;0.02821;1.16247;0.05929;-1.68578;0.75154;0.43728;0.31692;0.16523;0.0956;1.75482;0.30005;-2.51255;0.64911;0.61316;0.20923;0.01042;0.04904;1.606;0.12502;560;112;0.51274;0.54585;0.22942;1.17653;1.86525;0.19582;0.00439
Harvard_10;244.8341;-54.9315;0.671;0.004;8.267;0.099;-0.024;0.029;0.586;0.049;252;-1.41844;0.39688;1.96677;1.25274;-0.13889;0.04754;1.27811;0.0663;-1.37045;1.41207;0.3119;0.46466;0.2;0.17708;1.59476;0.51733;-3.0;0.94833;0.60766;0.16087;0.03387;0.04726;1.56135;0.18011;422;84;0.44841;0.54351;0.24824;1.11042;3.51496;0.13056;0.21182
