Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
ASCC_10;51.9055;35.011;0.642;0.003;8.292;0.088;0.004;0.028;0.793;0.068;109;-1.35456;0.48142;1.25945;0.31552;-0.10962;0.06576;1.40198;0.09958;229;45;0.44954;0.51823;0.26538;1.53993;6.46874;0.34689;0.00332
ASCC_105;295.5766;27.4244;0.552;0.002;8.117;0.053;-0.252;0.066;0.765;0.006;183;-1.60944;0.48663;0.85774;0.7519;-0.2;0.10014;1.46344;0.0994;304;60;0.78689;0.70889;0.21848;1.12542;5.59048;0.21638;0.05084
ASCC_107;297.1882;21.9844;0.847;0.008;7.652;0.359;0.253;0.187;1.463;0.204;108;-1.70302;0.30111;2.96674;0.39483;-0.16713;0.02491;1.34837;0.05922;409;81;0.7963;0.78835;0.22252;1.30286;3.00649;0.37446;0.00101
ASCC_108;298.4716;39.2269;1.157;0.003;8.241;0.071;-0.097;0.033;0.655;0.05;578;-2.09687;0.31721;1.99048;0.21577;-0.10409;0.02325;1.85483;0.05126;935;187;0.55709;0.59206;0.24218;1.04515;14.36767;0.11909;0.03634
ASCC_11;53.0538;44.8967;0.826;0.005;8.443;0.194;-0.121;0.044;0.975;0.101;343;-2.03576;0.31698;1.91101;0.19597;-0.11307;0.02372;1.70787;0.05321;529;105;0.49854;0.60459;0.23087;1.26139;7.17919;0.13528;0.11318
ASCC_113;318.0091;38.6407;0.558;0.0;8.493;0.088;0.001;0.025;0.245;0.049;264;-1.07001;0.15283;1.64677;0.16999;-0.17986;0.02541;1.61565;0.02915;413;82;0.4053;0.54707;0.25176;1.22491;3.84242;0.17394;0.03741
ASCC_114;324.9969;53.9725;0.9;0.006;8.103;0.089;0.059;0.055;1.208;0.091;202;-1.88272;0.44541;1.77319;0.46454;-0.0781;0.04322;1.70778;0.09636;432;86;0.68317;0.72418;0.22917;1.63188;3.65671;0.36691;0.0
ASCC_115;329.2888;51.5256;0.747;0.003;8.308;0.187;0.049;0.063;0.907;0.09;66;-1.99703;0.3183;1.74194;0.21759;-0.03223;0.02622;1.41078;0.06483;140;28;0.57576;0.54377;0.22284;1.34019;2.9261;0.30138;0.07808
ASCC_12;72.4597;41.8028;1.014;0.012;8.496;0.318;-0.112;0.033;1.009;0.084;176;-2.16489;0.36861;2.08275;0.32005;-0.11315;0.02766;1.45514;0.05542;359;71;0.44886;0.65416;0.26551;0.9636;6.9973;0.30248;0.00148
ASCC_127;347.2824;64.9754;0.332;0.013;7.549;0.107;-0.005;0.044;0.575;0.055;185;-1.55944;0.42522;0.70514;0.31871;-0.2;0.08419;1.35808;0.10481;207;41;0.42162;0.65524;0.23954;1.04764;3.44143;0.17847;0.33502
ASCC_128;349.7955;54.3994;0.644;0.001;8.388;0.1;-0.052;0.055;0.681;0.069;124;-1.06111;0.31077;1.41577;0.35114;-0.2;0.05747;1.37322;0.06159;241;48;0.51613;0.54723;0.2516;1.59254;5.91828;0.54013;0.0
ASCC_13;78.2872;44.4252;1.08;0.004;8.134;0.053;-0.12;0.05;0.882;0.049;293;-1.6535;0.21898;2.01464;0.25174;-0.1612;0.02454;1.58473;0.04307;576;115;0.62457;0.66179;0.25884;1.41437;10.89127;0.27317;7e-05
ASCC_16;81.2316;1.6235;0.342;0.001;7.301;0.072;0.18;0.019;0.038;0.053;481;-1.92132;0.29318;0.73142;0.26905;-0.2;0.04743;1.58897;0.0682;441;88;0.40748;0.68666;0.2121;1.07665;2.38865;0.12508;0.43509
ASCC_21;82.1709;3.4393;0.339;0.0;7.011;0.035;-0.118;0.04;0.283;0.065;324;-1.01211;0.33296;0.01289;0.28135;-0.2;0.22471;1.46231;0.15549;367;73;0.2716;0.67624;0.2231;1.11475;2.08445;0.17204;0.17871
ASCC_23;94.9038;46.6552;0.604;0.001;8.489;0.084;-0.069;0.046;0.376;0.044;165;-2.48028;0.52298;1.47645;0.29169;-0.09926;0.03635;1.52865;0.08211;248;49;0.52121;0.60778;0.20757;1.1971;5.59729;0.22107;0.07295
ASCC_29;103.556;-1.6495;0.988;0.011;8.129;0.085;-0.077;0.025;0.245;0.023;83;-1.41007;0.31793;1.81771;0.38568;-0.15249;0.04727;1.29508;0.06739;183;36;0.42169;0.42954;0.28635;1.19496;2.22426;0.23036;0.19328
ASCC_30;104.2999;-6.3039;1.054;0.014;8.284;0.061;-0.115;0.066;0.662;0.087;158;-1.41979;0.24605;2.05389;0.30804;-0.12818;0.03204;1.48195;0.05173;325;65;0.41772;0.62057;0.24829;1.40977;7.19653;0.25831;0.00975
ASCC_41;116.5811;0.1407;0.292;0.0;8.0;0.0;-0.036;0.0;0.01;0.0;172;-2.11335;1.39517;0.05369;0.41894;-0.14519;0.15969;1.19448;0.16989;126;25;0.23256;0.63534;0.22267;1.04543;5.29042;0.29202;0.06808
ASCC_67;175.2573;-60.9841;1.878;0.051;7.933;0.054;0.122;0.062;0.826;0.032;379;-1.60191;0.27407;1.99674;0.2166;-0.04045;0.0276;1.89361;0.07108;869;173;0.55937;0.58768;0.27033;1.21626;5.69254;0.17306;0.01061
ASCC_71;185.0383;-67.4613;1.236;0.023;8.071;0.045;-0.069;0.079;1.001;0.065;179;-1.65611;0.28705;1.88024;0.23971;-0.08666;0.03114;1.52766;0.0673;432;86;0.50279;0.53279;0.23116;1.28177;5.43335;0.21352;0.02771
ASCC_77;212.7274;-62.3329;1.079;0.012;8.162;0.074;0.124;0.036;0.824;0.04;225;-1.54661;0.20111;1.9522;0.19803;-0.09789;0.02252;1.70897;0.04153;480;96;0.66667;0.6184;0.24189;1.39679;3.39075;0.25984;0.00076
ASCC_85;251.6975;-45.5185;0.847;0.006;8.267;0.09;0.056;0.036;0.747;0.026;222;-1.3284;0.19297;2.35252;0.33897;-0.17087;0.02854;1.57407;0.0401;383;76;0.45495;0.5491;0.26671;1.2002;5.24794;0.26672;0.00063
ASCC_9;41.6957;57.7834;2.119;0.05;7.265;0.062;-0.106;0.079;2.579;0.031;537;-1.446;0.19806;2.057;0.22399;0.06421;0.0275;2.14026;0.0837;2154;430;0.57914;0.69543;0.256;1.38876;8.17966;0.33491;0.00033
